"","repeat_id","expt","analysis_type","true_base","b_base_lower","b_base_med","b_base_upper","b_base_error","true_sex","b_sex_p_value","b_sex_lower","b_sex_med","b_sex_upper","b_sex_error","true_cond","b_cond_p_value","b_cond_lower","b_cond_med","b_cond_upper","b_cond_error","true_sex_cond","b_sex_cond_p_value","b_sex_cond_lower","b_sex_cond_med","b_sex_cond_upper","b_sex_cond_error","pp_true","pb_true"
"1",1,1,"bglmm",0,0.455747205638388,0.528046464845546,0.601530671979914,0.0386525484588343,0,NA,-0.164765157432387,-0.0583498681336117,0.0552027500337564,0.0566009362610944,0,NA,-0.155040266350619,-0.0511338514843951,0.0546856111473263,0.0542562566908683,0,NA,-0.0412925245711363,0.110293452783866,0.252813500028266,0.0762653143103271,0,0
"2",1,2,"bglmm",0,0.41543053562478,0.47965030124903,0.550098808887618,0.036382764362955,0,NA,-0.104207103263504,8.42634033525833e-05,0.102454728892249,0.0525549296399091,0,NA,-0.0195824694778619,0.0737428899553012,0.173066566121754,0.0511557764060544,0,NA,-0.211870975667973,-0.0694703697884022,0.0690519649635126,0.0690566112657597,0,0
"3",1,3,"bglmm",0,0.369076645693074,0.446989907368075,0.522419656879754,0.0391234012459029,0,NA,-0.127558165123954,-0.01984910945697,0.0859829261439947,0.0555616117439147,0,NA,-0.082881938980118,0.0178879489374217,0.125557510303657,0.0526511810646797,0,NA,-0.0622949133665289,0.0794308077998146,0.221387718571803,0.0748131748224273,0,0
"4",1,4,"bglmm",0,0.454262172249776,0.529066696040498,0.600867342625601,0.036571399618724,0,NA,-0.123999991682407,-0.015854367469712,0.0817130568233334,0.0521336355211557,0,NA,-0.15515197526839,-0.0556405675643417,0.0400850868105588,0.0489268819387919,0,NA,-0.169063058601357,-0.0336378962132347,0.100228946620633,0.0701125406323794,0,0
"5",1,5,"bglmm",0,0.360331523898938,0.437876235053082,0.514550133123371,0.0382215139318437,0,NA,-0.0555236110427827,0.0498967262942795,0.161449862665355,0.0545626189965157,0,NA,-0.00618056441107102,0.102844861798763,0.206042558801744,0.0553708565652648,0,NA,-0.244992066254198,-0.0991072768072725,0.0596570861965084,0.0796958063229717,0,0
"6",1,6,"bglmm",0,0.417983021144595,0.482531312031158,0.541093826804877,0.0310566195995636,0,NA,-0.00911458887320428,0.0747764432733746,0.159725048883249,0.0431926185146604,0,NA,-0.0105312876624391,0.0725048318799152,0.155198740973802,0.0424731375998861,0,NA,-0.213033344863567,-0.0911154701886382,0.0317430821028265,0.0613656576055762,0,0
"7",1,7,"bglmm",0,0.396064628086412,0.462287193738485,0.51826903482272,0.0329411207757883,0,NA,-0.0518211087215246,0.0411236259237111,0.144897084667382,0.0516099998483169,0,NA,-0.0270170427660276,0.0615158879974743,0.160132042218672,0.0468719814493797,0,NA,-0.202319752525936,-0.0634860840260527,0.0515111503796942,0.0702481089667753,0,0
"8",1,8,"bglmm",0,0.441215080522949,0.501206133481335,0.56123654921139,0.0303995556582919,0,NA,-0.116093439059006,-0.0355501061965223,0.0497493206854066,0.0438889426920461,0,NA,-0.0260310225228798,0.0652825076397843,0.148513233371752,0.0439672297160084,0,NA,-0.14070184020433,-0.0153992045116535,0.10565714047061,0.0619559740477065,0,0
"9",1,9,"bglmm",0,0.416986432652255,0.491077452066184,0.55844013687182,0.0348051273681623,0,NA,-0.0973661396679602,-0.00575812010209507,0.106375759561873,0.0493319109495885,0,NA,-0.0590991493969601,0.0342499968278348,0.123724251263322,0.0476540311714247,0,NA,-0.128996645518548,0.011063284390356,0.142602977260798,0.0697696996400741,0,0
"10",1,10,"bglmm",0,0.447555709263601,0.511528508725096,0.573087419490079,0.0317431174969548,0,NA,-0.154939724970646,-0.0656273864750038,0.0214770071193735,0.0442568788357772,0,NA,-0.1552762643359,-0.0671709495973014,0.0190795021790647,0.0437076151782611,0,NA,0.0242353982651664,0.142612936344537,0.259945303084942,0.0601565840079269,0,0
"11",1,11,"bglmm",0,0.398067518197088,0.469727281419945,0.531839534369781,0.0329204530266434,0,NA,-0.0984503210101431,-0.0114627162459853,0.087944917375469,0.0463403025624081,0,NA,-0.0196704135794884,0.076269631612432,0.170034369456629,0.047189752662086,0,NA,-0.161816895033901,-0.0106106379248362,0.116367639121353,0.0678916959019639,0,0
"12",1,12,"bglmm",0,0.44201259587682,0.511851739080563,0.571582534142125,0.0348662334130426,0,NA,-0.117385482913436,-0.035163116045026,0.0640668103941841,0.0447812635988635,0,NA,-0.122817344085875,-0.0380244657088897,0.0461740151067477,0.0435474305168828,0,NA,-0.0172962870161578,0.104940367928619,0.219578102631894,0.0590275016869934,0,0
"13",1,13,"bglmm",0,0.43842640667456,0.498809173807939,0.55832320006969,0.0312329891098069,0,NA,-0.0474463416279616,0.0406988172231073,0.129761676082897,0.0446752542522352,0,NA,-0.0254152508677829,0.0616320884599731,0.146436563843241,0.0432430501250367,0,NA,-0.21838700097621,-0.0936174696124017,0.0292836084788638,0.0628948144001005,0,0
"14",1,14,"bglmm",0,0.391439299467581,0.460298910676575,0.523638520508264,0.0340391258935763,0,NA,-0.0439251005927558,0.0678795051237621,0.171631210983957,0.0552278002023796,0,NA,-0.11259000365639,-0.0174938536200755,0.0800891558072279,0.0519163537115517,0,NA,-0.0985027437863512,0.040134915526665,0.197720505983704,0.0756563471568815,0,0
"15",1,15,"bglmm",0,0.399645669752506,0.466241625925909,0.530231457702832,0.0331893591189279,0,NA,-0.0394259252275745,0.0508644974699175,0.145204564493382,0.0478068212541157,0,NA,-0.0297953465055766,0.0689478143073553,0.160962926745051,0.0491020507978922,0,NA,-0.232974473225956,-0.0964599414562746,0.0387813211633678,0.0684331013796595,0,0
"16",1,16,"bglmm",0,0.463238968634102,0.532068708898438,0.599682266672696,0.0349299370939328,0,NA,-0.152334331670104,-0.0608741282382779,0.0353550865398974,0.0481126860347026,0,NA,-0.149352895343263,-0.0535551758416997,0.046306239126247,0.0492598346011918,0,NA,-0.154910593487901,-0.0117187349822658,0.120326634996815,0.0688616891752662,0,0
"17",1,17,"bglmm",0,0.428542775214377,0.484204302925341,0.550262551894478,0.0325033365573213,0,NA,-0.0614598444703967,0.0244014246174627,0.101220332987152,0.0401546175695225,0,NA,-0.097107720884437,-0.00334423864036206,0.0710006554106489,0.045277449390428,0,NA,-0.0597397198083306,0.0569192229153958,0.177536674388325,0.058739197851912,0,0
"18",1,18,"bglmm",0,0.369069839149969,0.424985770763324,0.480524104117825,0.0299358251912592,0,NA,-0.0398939472400857,0.0361955054587354,0.126080744636293,0.040902571777353,0,NA,-0.0103362034943054,0.071559258146296,0.141722259369696,0.0388174630314244,0,NA,-0.139978864577901,-0.00553046396155591,0.091387660387999,0.0609761747972967,0,0
"19",1,19,"bglmm",0,0.459982549219462,0.54319459043076,0.616719203043654,0.0409258280802044,0,NA,-0.136883170869564,-0.0456523271966576,0.0556590298099601,0.0481497664064281,0,NA,-0.134740987713838,-0.0400548401630509,0.0607261830882364,0.0492310722687085,0,NA,-0.113852041741146,0.0173725015035238,0.158238611813353,0.0690033301998345,0,0
"20",1,20,"bglmm",0,0.396249990373035,0.457751789614548,0.525955907517303,0.0328977266251811,0,NA,-0.11181445585844,-0.0202875985902128,0.0649999222335128,0.0445074056783826,0,NA,-0.071564365759442,0.0243974163082547,0.113627971888831,0.0477545975899295,0,NA,-0.0739615198797511,0.0500880064055867,0.172926045214708,0.0636720172893588,0,0
"21",1,21,"bglmm",0,0.431832725774797,0.494286033902519,0.55478439289552,0.0315029685835777,0,NA,-0.0646883216200683,0.0155954138348057,0.0995893201197177,0.043743939013615,0,NA,-0.0119417419057901,0.075532305224885,0.161122628893854,0.0435753216435401,0,NA,-0.234645190092169,-0.114118052578244,0.00398285112537196,0.0618174819126169,0,0
"22",1,22,"bglmm",0,0.433321610065581,0.502064866019255,0.569566264798334,0.034619167510165,0,NA,-0.0821036912357351,0.0133852725867087,0.116518736834553,0.0497889043076317,0,NA,-0.120776872336779,-0.0223762598927534,0.0713605119447467,0.0492789640420231,0,NA,-0.123979331402946,0.00470642666390977,0.145144434924613,0.0688220083690271,0,0
"23",1,23,"bglmm",0,0.431892000942622,0.51276537553146,0.591940994331597,0.0417423816306861,0,NA,-0.0821910876246609,0.0241888836956687,0.135252303476918,0.0558966959959296,0,NA,-0.207557809289266,-0.0906846235690038,0.0236472464579627,0.0599377365899745,0,NA,-0.143721144610357,0.00234498559932762,0.159103612289781,0.0801457132256415,0,0
"24",1,24,"bglmm",0,0.405936093677622,0.47464874236375,0.545669581224552,0.0351721276344604,0,NA,-0.0564987380091425,0.0383549186109679,0.140654923521921,0.0490027397957189,0,NA,-0.0483083601399822,0.0494064259206457,0.140815097900394,0.0484155507614925,0,NA,-0.159172706050036,-0.0256841550217753,0.105918612236203,0.068457454639186,0,0
"25",1,25,"bglmm",0,0.435500866430919,0.492481476990551,0.547812605924135,0.0284664371979837,0,NA,-0.0857269346497654,-0.0101846178364956,0.0729116586429333,0.0401797627568536,0,NA,-0.0219226753730858,0.0551609495991801,0.137269679252045,0.0394653955068587,0,NA,-0.171443382044836,-0.0575926481798409,0.0505100010333963,0.0571336555742939,0,0
"26",1,26,"bglmm",0,0.470759575667013,0.532237925991643,0.595708443635194,0.0313815941849511,0,NA,-0.143090932504383,-0.0540756538537917,0.0325583483519974,0.0442193150232231,0,NA,-0.110259558991317,-0.0202953451107529,0.067678961762043,0.045518837928491,0,NA,-0.0668120258105126,0.059349424898178,0.183930722615224,0.0644547939436558,0,0
"27",1,27,"bglmm",0,0.377571090521086,0.449206976854416,0.517408931427385,0.0355846092015981,0,NA,0.0150418772430281,0.112663853298442,0.205376252867117,0.0478614951443965,0,NA,-0.0636360485887336,0.0336330076492283,0.13356085210308,0.050572527763864,0,NA,-0.234769783077934,-0.0955748014662054,0.0375531576625561,0.0679626236800936,0,0
"28",1,28,"bglmm",0,0.476872311926482,0.551935652671049,0.625627831796145,0.0370411992843508,0,NA,-0.0950895634414671,0.00980920312297279,0.117285164625973,0.0527980130060953,0,NA,-0.139728444903051,-0.0386095288717731,0.0650580821487875,0.051090587612941,0,NA,-0.201695118658698,-0.0539218910487668,0.0939390166667786,0.0741610943827391,0,0
"29",1,29,"bglmm",0,0.383869670238475,0.450964894284144,0.52241960947511,0.0353760822698604,0,NA,-0.0869485674303933,0.0160268615570049,0.105161550972968,0.0490108305222722,0,NA,-0.0630520091132992,0.0338085598273572,0.138374419450654,0.0498684058078893,0,NA,-0.159187626124454,-0.0201718137774166,0.125657525327018,0.0715448750080167,0,0
"30",1,30,"bglmm",0,0.439798482289945,0.507697639178386,0.578658284200297,0.0364599382844302,0,NA,-0.10360901067502,-0.015349834421487,0.0837397768343605,0.0468378191611777,0,NA,-0.0593154399644705,0.0379527188745533,0.130203951368846,0.0491722982450188,0,NA,-0.201688954112542,-0.0652229377031831,0.0809248825573853,0.0729927318613693,0,0
"31",1,31,"bglmm",0,0.455653357799283,0.516111488258711,0.581782104620485,0.0308579594253642,0,NA,-0.103153025968814,-0.00617034216159674,0.0785168801268033,0.0444812154624888,0,NA,-0.119830717169221,-0.0164079120576109,0.0711024276390319,0.0476356094540943,0,NA,-0.0459075221062591,0.0657821138676286,0.206892494767658,0.063505511743374,0,0
"32",1,32,"bglmm",0,0.425715436663371,0.490704347532074,0.551814046500578,0.0324641271822719,0,NA,-0.0378200005014165,0.0538801528681483,0.15532634413897,0.0474814563143454,0,NA,-0.0870190102135149,0.00421521595374502,0.0952317977786318,0.0456407003058228,0,NA,-0.0950440956954895,0.0362472895988701,0.172850797743517,0.0678403321099338,0,0
"33",1,33,"bglmm",0,0.459081072466622,0.524652524965935,0.592886110310013,0.0333302752657898,0,NA,-0.0878674862735098,0.000434395024298565,0.0968554390728457,0.0458743720825174,0,NA,-0.0260244635660863,0.0684787887776114,0.159449118011953,0.0472738397119239,0,NA,-0.202415821883356,-0.0836850065679217,0.0455644858341958,0.064266658935418,0,0
"34",1,34,"bglmm",0,0.416578504214344,0.489973213706604,0.562978031544506,0.036841439632884,0,NA,-0.158288140639187,-0.049888778222231,0.0551053120607924,0.0546675735845621,0,NA,-0.0990073293353898,0.00661903847612158,0.11103925544962,0.0546559243943906,0,NA,-0.0937865694080041,0.0559832947554375,0.206766235639121,0.0777544128540888,0,0
"35",1,35,"bglmm",0,0.416066713886755,0.491391959135241,0.565520155728432,0.0360029551637644,0,NA,-0.0690333989854455,0.0325536568983662,0.128095583437096,0.0500248801474422,0,NA,-0.0752028194596789,0.0231072305669955,0.123152053794503,0.0502474374617969,0,NA,-0.239488043607054,-0.0942204585038072,0.0594514511229489,0.0814980770091526,0,0
"36",1,36,"bglmm",0,0.43841689799454,0.509931457958692,0.553130984148112,0.0297277342857519,0,NA,-0.100111230132797,-0.0430465260067222,0.0509549951836087,0.0410153990608294,0,NA,-0.0593007533658672,0.0119117835992512,0.11287844860444,0.0394592512870453,0,NA,-0.0841984416379458,0.0446162932297514,0.134673702246773,0.0548154489533436,0,0
"37",1,37,"bglmm",0,0.432644394493705,0.488831690509359,0.551731253261988,0.0310621155826104,0,NA,-0.0289298839317339,0.0628064783735903,0.139304737568402,0.0423550433540783,0,NA,-0.0780086619259493,0.00913138901795476,0.0887937926675963,0.0430641748101749,0,NA,-0.181241656378265,-0.0717696745533866,0.0558409704047277,0.0610085980237444,0,0
"38",1,38,"bglmm",0,0.388887472039954,0.453670790446468,0.517418817927859,0.0331828007703032,0,NA,-0.0567302501588206,0.042622209513784,0.136134251911466,0.0485598341092813,0,NA,-0.0241192171872628,0.0675280932230153,0.160824846072459,0.0471944609686054,0,NA,-0.246002674850259,-0.107521765542506,0.0221172262394787,0.068043894251848,0,0
"39",1,39,"bglmm",0,0.414589961815885,0.482335008940662,0.548301060102888,0.034375287770991,0,NA,-0.102313201388296,0.000701096630850599,0.0932227721297601,0.049709987403248,0,NA,-0.0522316485682049,0.0425226523843868,0.144337746337953,0.0500268518597562,0,NA,-0.106993382524198,0.0294825019437277,0.174556636769551,0.0697266186517198,0,0
"40",1,40,"bglmm",0,0.419415635787472,0.487721064005147,0.552785305275378,0.034368019766735,0,NA,-0.122367238680156,-0.022194922199064,0.0752563843089869,0.0506955718391758,0,NA,-0.0934860083144023,0.00260444949005743,0.0974022436857075,0.0490776498513586,0,NA,-0.117268344954356,0.0160119307866956,0.150395771942585,0.0700775497823193,0,0
"41",1,41,"bglmm",0,0.406736244994785,0.472596717052157,0.541701260876986,0.0360483070477816,0,NA,-0.0878188189226538,0.0187452894504838,0.114321338899734,0.0511772588337954,0,NA,-0.103397025141164,-0.00587564968644266,0.0891002998530463,0.0489672377092275,0,NA,-0.0826399409824404,0.0461890535148267,0.199078051156872,0.0707227683179509,0,0
"42",1,42,"bglmm",0,0.397017061510773,0.463464615790314,0.5393321552789,0.0369683564511294,0,NA,-0.0138277210236518,0.0945555265985416,0.214047367597072,0.0584988468998348,0,NA,-0.0846643922412975,0.0119837855184372,0.110719017994286,0.0524861693505349,0,NA,-0.252326684956376,-0.107428003620424,0.0433644566974714,0.0748283222813809,0,0
"43",1,43,"bglmm",0,0.367485722828216,0.441731137511455,0.512241965462446,0.0374737849737619,0,NA,-0.0166966256986493,0.0827804433024854,0.187932542088396,0.0525662973863333,0,NA,-0.0895844931243218,0.013728169162258,0.119268622472213,0.0541133827379671,0,NA,-0.164805113060882,-0.00677876352074055,0.139267317766694,0.0761809488608842,0,0
"44",1,44,"bglmm",0,0.388998395595814,0.453712676947741,0.517244555029386,0.0325660954587256,0,NA,-0.0369280639029381,0.0514268073523096,0.142455401653194,0.0451432824318557,0,NA,-0.0213620019030675,0.0646113397107643,0.151181017368603,0.0451166299358336,0,NA,-0.198162243084828,-0.0767452104339573,0.0485535833881349,0.063761393352396,0,0
"45",1,45,"bglmm",0,0.422160049591345,0.491400187126447,0.556933567817012,0.0351512033449047,0,NA,-0.103414020122999,-0.0133456122479539,0.086439082215544,0.0496091188593123,0,NA,-0.0621244856659171,0.0371475860322684,0.131362677845218,0.0481140373682062,0,NA,-0.137044610936148,-0.00610492347952595,0.124714479915194,0.0670532331147226,0,0
"46",1,46,"bglmm",0,0.426767479183982,0.480074237299652,0.532613880689975,0.0270685338364702,0,NA,-0.0716828365335272,0.0051701415328227,0.0815027742310734,0.0387057162023649,0,NA,-0.104722916004209,-0.025712998325313,0.0449177765176868,0.0385786191858517,0,NA,-0.0899541612529328,0.0121372395662486,0.122884606683081,0.0531907026451213,0,0
"47",1,47,"bglmm",0,0.468735232461478,0.522521902056586,0.574953878303291,0.0275271413865631,0,NA,-0.113763963867562,-0.0369314617289986,0.0340448318152196,0.0352551200622318,0,NA,-0.167268041884491,-0.0915245503453641,-0.0065040517329458,0.0389655305267668,0,NA,-0.0255253797980392,0.0756433725615882,0.180401396133017,0.050955386582485,0,0
"48",1,48,"bglmm",0,0.48319084358729,0.557774146622444,0.63280370066004,0.0372815271875217,0,NA,-0.202334013762951,-0.0986221778781134,0.00326763259652773,0.0530032126099056,0,NA,-0.171848999251928,-0.0651639929329944,0.0282629278121153,0.0549884567852503,0,NA,0.0338325959691322,0.170052238244597,0.340429160075296,0.080813973525642,0,0
"49",1,49,"bglmm",0,0.441989439033177,0.500586200919239,0.556729726655017,0.0293159574381244,0,NA,-0.093664659195099,-0.0143197191319666,0.0702506329264787,0.0414901850312392,0,NA,-0.0391891963627382,0.0445026799047675,0.123179831118476,0.0437310943580348,0,NA,-0.114355290985481,0.00439599554544348,0.123076868097709,0.0614100764935428,0,0
"50",1,50,"bglmm",0,0.439119060621448,0.49971394565315,0.561522915032995,0.0312292033840643,0,NA,-0.0771793427747493,0.0125669628977768,0.0983258012178088,0.0450786898610929,0,NA,-0.0993699648163167,-0.0161910454453483,0.0610201566784623,0.0408690041849782,0,NA,-0.0534224750320785,0.0606923899371486,0.180727423036704,0.0584609093883262,0,0
"51",1,51,"bglmm",0,0.456039432874113,0.530291286455406,0.618090342478389,0.039802704910269,0,NA,-0.0944895408776058,0.000352759263663284,0.122523407510268,0.0527793688359766,0,NA,-0.174895297943467,-0.0746886246719128,0.039117383377847,0.0540124141907639,0,NA,-0.101008833846257,0.0565657043551256,0.21900580898137,0.0758421064495055,0,0
"52",1,52,"bglmm",0,0.457507611921992,0.529162671294948,0.602305779314195,0.0371907017527507,0,NA,-0.0765411864076314,0.0235655468210333,0.122744489593127,0.0511664345512225,0,NA,-0.13329493887955,-0.0344439223006977,0.0668137778311405,0.0520159605628047,0,NA,-0.113484888798557,0.0259720556035945,0.164918577708368,0.0721714113815566,0,0
"53",1,53,"bglmm",0,0.41260154453252,0.490382933634898,0.563343826683866,0.0382694246310559,0,NA,-0.103853429675122,-0.00763024510402459,0.100114291206578,0.0540998372917425,0,NA,-0.108377511233669,-0.0036827847749716,0.104537783701816,0.0527674103500387,0,NA,-0.174340979790637,-0.032621712286205,0.108039402700285,0.0725056988594342,0,0
"54",1,54,"bglmm",0,0.442704617106809,0.519282740802771,0.599823716317527,0.0406177354002121,0,NA,-0.242056095843886,-0.129314859695293,-0.0343872328007467,0.0524858506497552,0,NA,-0.124931338255122,-0.0138166339388256,0.0798593524616276,0.0542302046892596,0,NA,-0.020656241893696,0.117213861633659,0.259876329073307,0.0715288098694078,0,0
"55",1,55,"bglmm",0,0.37522380600586,0.457821097504523,0.531665983641918,0.0398679620752014,0,NA,-0.0921319019720876,0.0159851783916489,0.129137131341641,0.0557694253833215,0,NA,-0.0743227391333841,0.034943810077289,0.146998017504703,0.0564612598829281,0,NA,-0.152958930880904,0.00637193416215987,0.165743003257996,0.0798922709047226,0,0
"56",1,56,"bglmm",0,0.438902650941581,0.505644872177734,0.572984121219222,0.0339593791469265,0,NA,-0.117660058445644,-0.030864971349712,0.057755418756167,0.0460740080935756,0,NA,-0.127887659622793,-0.0287369256103409,0.0620596684322703,0.0476936793751896,0,NA,-0.124434537175144,0.0135636714638129,0.139178963898318,0.0683045877747348,0,0
"57",1,57,"bglmm",0,0.442237613366633,0.515142879276357,0.588540751301545,0.0354543329666932,0,NA,-0.103085050982905,-0.00473689515778588,0.0958704090366136,0.0502083688127131,0,NA,-0.11535734844629,-0.0164883129693858,0.0786971758061027,0.0493130132171961,0,NA,-0.144105711466628,-0.00303079351807463,0.137866797880113,0.0707666562874739,0,0
"58",1,58,"bglmm",0,0.425295249408959,0.494033902602218,0.560600425376998,0.0347850816523408,0,NA,-0.10064068145052,-0.00690345177090054,0.0878179591720063,0.0480664282474319,0,NA,-0.149582236183941,-0.0547111759171202,0.0381305277958529,0.0479442544720396,0,NA,-0.0459952772187672,0.0914228541173439,0.233152555096156,0.0701927975424275,0,0
"59",1,59,"bglmm",0,0.49456256264869,0.551114877738781,0.608331988484722,0.0280987565094887,0,NA,-0.161125797459244,-0.085063233848258,-0.00161100388997266,0.0393702481298307,0,NA,-0.143812418940394,-0.0672359951013402,0.00989558294082937,0.0395277931743001,0,NA,-0.059365939229865,0.0520828750514408,0.16059700482229,0.0586803952640049,0,0
